"municipio","ano","quarter","precio"
"Ciempozuelos",2005,1,2139.2293607106
"Collado Villalba",2005,1,2290.28608767406
"Colmenar Viejo",2005,1,2632.46123519511
"Coslada",2005,1,2744.32971237736
"El Escorial",2005,1,NA
"Fuenlabrada",2005,1,2249.16877695477
"Galapagar",2005,1,2335.61672599902
"Getafe",2005,1,2697.94360416983
"Guadarrama",2005,1,NA
"Humanes De Madrid",2005,1,NA
"La Moraleja",2005,1,NA
"Leganés",2005,1,2569.70668983373
"Majadahonda",2005,1,3111.54072928097
"Manzanares El Real",2005,1,NA
"Meco",2005,1,NA
"Mejorada Del Campo",2005,1,NA
"Molar El",2005,1,NA
"Móstoles",2005,1,2302.47435030643
"Navalcarnero",2005,1,NA
"Paracuellos Del Jarama",2005,1,NA
"Parla",2005,1,2082.05055060898
"Pinto",2005,1,NA
"Pozuelo De Alarcón",2005,1,3506.48418828814
"Rivas-Vacíamadrid",2005,1,2408.71120229463
"Rozas De Madrid (Las)",2005,1,3128.55107371453
"San Agustín De Guadalix",2005,1,NA
"San Fernando De Henares",2005,1,2824.20260229619
"San Lorenzo Del Escorial",2005,1,NA
"San Martín De La Vega",2005,1,1921.80958298033
"San Martín De Valdeiglesias",2005,1,NA
"San Sebastián De Los Reyes",2005,1,2969.85982023908
"Sevilla La Nueva",2005,1,2348.68022640147
"Torrejón De Ardoz",2005,1,2322.3620786694
"Torrelodones",2005,1,2879.19376643101
"Tres Cantos",2005,1,3222.40054085973
"Valdemoro",2005,1,NA
"Villanueva De La Cañada",2005,1,NA
"Villanueva Del Pardillo",2005,1,NA
"Villaviciosa De Odón",2005,1,NA
"Alcalá De Henares",2005,2,2532.80937862342
"Alcobendas",2005,2,3452.35943919416
"Alcorcón",2005,2,2743.66923220635
"Algete",2005,2,NA
"Alpedrete",2005,2,2300.53394038852
"Aranjuez",2005,2,2135.01912846665
"Arganda Del Rey",2005,2,2183.35881340568
"Arroyomolinos",2005,2,NA
"Boadilla Del Monte",2005,2,3116.74655736304
"Brunete",2005,2,3095.50974413813
"Cercedilla",2005,2,NA
"Ciempozuelos",2005,2,2524.49285980032
"Collado Villalba",2005,2,2387.30586786394
"Colmenar Viejo",2005,2,2619.09848780833
"Coslada",2005,2,2782.71194611691
"El Escorial",2005,2,2828.7495441797
