id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23544096,Peaceful place in Chamberi (center) - 4 people,2853900,Olivia,Chamberí,Gaztambide,40.4346492831115,-3.7171222209638404,Entire home/apt,100,2,10,2018-10-14,1.36,2,11
23551666,Piso en Avenida de Menendez Pelayo con garaje,31733456,Fernando,Retiro,Pacífico,40.40616846166217,-3.680545000823482,Entire home/apt,110,2,35,2018-10-21,4.47,2,52
23552376,Estudio PUERTA DEL SOL,161997659,Mabel,Centro,Sol,40.41877920911946,-3.7051728875949146,Entire home/apt,50,2,5,2018-11-04,3.57,3,351
23552400,"PUERTA DEL SOL KM-0 MADRID
MUY CÉNTRICO",161997659,Mabel,Centro,Sol,40.41581493309506,-3.7028903594504206,Entire home/apt,51,2,36,2018-10-26,4.91,3,351
23553031,Urban loft in best part of Madrid - Wifi & Netflix,12345399,Eva,Chamberí,Trafalgar,40.43109283347394,-3.6987545489227553,Entire home/apt,75,2,39,2018-10-29,4.83,3,347
23553889,Nice room close to Atocha,77578945,Nataly,Puente de Vallecas,Numancia,40.398036555123134,-3.6659708225021927,Private room,23,2,12,2018-10-18,1.51,4,342
23553895,Fresco.Amplio.Tranquilo. Cortes-Huertas.WIFI&A/C,33647555,Angel Peluaga,Centro,Cortes,40.414498136866456,-3.698565330418701,Entire home/apt,120,2,11,2018-10-12,1.36,5,49
23554443,Comfort & Classy at Madrid City Center,175996721,Cavanilles,Retiro,Pacífico,40.40574200046318,-3.677619375682563,Entire home/apt,100,3,5,2018-10-20,0.75,1,356
23554747,Penthouse at Puerta del Sol,176001645,Jaime,Centro,Sol,40.41762086146905,-3.7028029223930172,Entire home/apt,37,2,25,2018-11-03,3.11,3,122
23555771,Tipical Lavapiés Flat,14310119,Jurgen,Centro,Embajadores,40.41085956023145,-3.7031337423018322,Private room,27,1,35,2018-11-04,4.22,1,119
