"distrito","ano","quarter","precio"
"Moncloa",2014,2,12
"Moratalaz",2014,2,8.37
"Puente De Vallecas",2014,2,8.41
"Retiro",2014,2,11.4
"Salamanca",2014,2,13.43
"San Blas",2014,2,9.2
"Tetuan",2014,2,11.06
"Usera",2014,2,8.42
"Vicálvaro",2014,2,8.26
"Villa De Vallecas",2014,2,8.59
"Villaverde",2014,2,7.81
"Arganzuela",2014,3,10.7747389574552
"Barajas",2014,3,9.77862030001998
"Carabanchel",2014,3,8.16135061411346
"Centro",2014,3,13.4640041023515
"Chamartín",2014,3,12.1727354668413
"Chamberí",2014,3,13.2325093465106
"Ciudad Lineal",2014,3,10.0468797303064
"Fuencarral",2014,3,9.80088196075923
"Hortaleza",2014,3,10.5426362507201
"Latina",2014,3,8.66108033321047
"Moncloa",2014,3,11.6835203112687
"Moratalaz",2014,3,8.35690382290628
"Puente De Vallecas",2014,3,8.28698492838285
"Retiro",2014,3,11.6633377448659
"Salamanca",2014,3,13.5349038342957
"San Blas",2014,3,9.16913940397139
"Tetuan",2014,3,11.124943500392
"Usera",2014,3,8.39784787558856
"Vicálvaro",2014,3,7.91069828518971
"Villa De Vallecas",2014,3,8.5085795010639
"Villaverde",2014,3,7.59154123593289
"Arganzuela",2014,4,10.9834524125808
"Barajas",2014,4,9.48864391020779
"Carabanchel",2014,4,8.34620440033888
"Centro",2014,4,13.6749100899222
"Chamartín",2014,4,12.3976102199946
"Chamberí",2014,4,13.4600501941345
"Ciudad Lineal",2014,4,10.195528771549
"Fuencarral",2014,4,10.2281212284698
"Hortaleza",2014,4,10.3196636202872
"Latina",2014,4,8.50109052612795
"Moncloa",2014,4,11.9604153370901
"Moratalaz",2014,4,8.51303041212471
"Puente De Vallecas",2014,4,8.06611634254025
"Retiro",2014,4,11.65758097465
"Salamanca",2014,4,13.8021198318023
"San Blas",2014,4,9.22951234774211
"Tetuan",2014,4,11.2884553142549
"Usera",2014,4,8.42120628066054
"Vicálvaro",2014,4,8.30906427216446
"Villa De Vallecas",2014,4,8.70177281697652
"Villaverde",2014,4,7.78171844700427
"Arganzuela",2015,1,11.1727425245243
"Barajas",2015,1,10.0420844598726
"Carabanchel",2015,1,8.35509954914274
"Centro",2015,1,13.8403507741421
"Chamartín",2015,1,12.5641646686427
"Chamberí",2015,1,13.5771548589031
"Ciudad Lineal",2015,1,10.4443081511704
"Fuencarral",2015,1,10.2719745636318
"Hortaleza",2015,1,10.6935546019871
"Latina",2015,1,8.60871202228652
"Moncloa",2015,1,12.0315081635429
"Moratalaz",2015,1,8.7540684907609
"Puente De Vallecas",2015,1,8.25279064309696
"Retiro",2015,1,12.2008461434193
"Salamanca",2015,1,13.7327624547983
"San Blas",2015,1,9.42622102844482
"Tetuan",2015,1,11.4435456823717
"Usera",2015,1,8.66836661502099
"Vicálvaro",2015,1,8.40312561916058
"Villa De Vallecas",2015,1,8.62954391031269
"Villaverde",2015,1,7.95235467525358
"Arganzuela",2015,2,11.0914434509912
"Barajas",2015,2,9.81159318236514
"Carabanchel",2015,2,8.46614641328889
"Centro",2015,2,13.7423644522679
"Chamartín",2015,2,12.492506743325
"Chamberí",2015,2,13.4561621440105
"Ciudad Lineal",2015,2,10.3890479044537
"Fuencarral",2015,2,10.2440717798007
"Hortaleza",2015,2,10.5613243292832
"Latina",2015,2,8.65117388505769
"Moncloa",2015,2,12.2699625500067
"Moratalaz",2015,2,8.573126443507
"Puente De Vallecas",2015,2,8.50060224967436
"Retiro",2015,2,11.8242949688219
"Salamanca",2015,2,13.7931855678698
"San Blas",2015,2,9.26078055453838
"Tetuan",2015,2,11.7904881171351
"Usera",2015,2,8.77825610871313
"Vicálvaro",2015,2,8.22023374750379
"Villa De Vallecas",2015,2,8.75027055012285
"Villaverde",2015,2,7.7548226751999
"Arganzuela",2015,3,11.9380156405113
"Barajas",2015,3,9.86860051116251
"Carabanchel",2015,3,8.86931660868172
"Centro",2015,3,14.5139395530953
"Chamartín",2015,3,12.8845869554096
"Chamberí",2015,3,14.052332408175
"Ciudad Lineal",2015,3,10.70172824283
"Fuencarral",2015,3,10.3914245783684
"Hortaleza",2015,3,10.9961084502356
"Latina",2015,3,8.7473460347336
"Moncloa",2015,3,12.8635868008704
"Moratalaz",2015,3,8.56360360542653
"Puente De Vallecas",2015,3,8.67417738633088
"Retiro",2015,3,12.6531302998364
"Salamanca",2015,3,14.6716187208679
"San Blas",2015,3,9.5884867750248
"Tetuan",2015,3,12.466251590038
"Usera",2015,3,9.59157819859993
"Vicálvaro",2015,3,8.18627976106403
"Villa De Vallecas",2015,3,8.75760436068289
"Villaverde",2015,3,8.32610727200041
"Arganzuela",2015,4,12.0146828365162
"Barajas",2015,4,9.99225524550741
"Carabanchel",2015,4,9.23260984312775
"Centro",2015,4,15.2512195854152
"Chamartín",2015,4,13.1682833928258
"Chamberí",2015,4,14.6479765670695
"Ciudad Lineal",2015,4,11.2788077351038
"Fuencarral",2015,4,10.6611234741001
"Hortaleza",2015,4,11.0483684050868
"Latina",2015,4,9.27144336584987
"Moncloa",2015,4,12.3132282958037
