"distrito","ano","quarter","precio"
"Puente De Vallecas",2004,2,2531.86451355852
"Retiro",2004,2,3629.02032360941
"Salamanca",2004,2,4151.83770280383
"San Blas",2004,2,2968.7004381356
"Tetuán",2004,2,3401.04234611927
"Usera",2004,2,2545.30380314065
"Vicálvaro",2004,2,2721.06949585256
"Villa De Vallecas",2004,2,2375.56346816101
"Villaverde",2004,2,2398.33625171527
"Arganzuela",2004,3,3285.09194017021
"Barajas",2004,3,3100.54553990507
"Carabanchel",2004,3,2624.01886569075
"Centro",2004,3,3464.0300634949
"Chamartín",2004,3,4139.76908510643
"Chamberí",2004,3,4217.42342696597
"Ciudad Lineal",2004,3,3352.37570551371
"Fuencarral",2004,3,3396.51864233852
"Hortaleza",2004,3,3224.91625741912
"Latina",2004,3,2653.86756185332
"Moncloa",2004,3,3520.9428517765
"Moratalaz",2004,3,2916.79008047653
"Puente De Vallecas",2004,3,2625.46604645998
"Retiro",2004,3,3722.02621776177
"Salamanca",2004,3,4226.12367513615
"San Blas",2004,3,2971.15396725367
"Tetuán",2004,3,3458.60372902443
"Usera",2004,3,2612.50880386831
"Vicálvaro",2004,3,2741.66011939814
"Villa De Vallecas",2004,3,2437.76708230813
"Villaverde",2004,3,2411.1632608363
"Arganzuela",2004,4,3401.4981298601
"Barajas",2004,4,3219.31879715187
"Carabanchel",2004,4,2643.27803655569
"Centro",2004,4,3619.34705227198
"Chamartín",2004,4,4232.1583509416
"Chamberí",2004,4,4229.78688018876
"Ciudad Lineal",2004,4,3348.70664334129
"Fuencarral",2004,4,3428.38750656224
"Hortaleza",2004,4,3342.99043442529
"Latina",2004,4,2776.95290941473
"Moncloa",2004,4,3645.18757584794
"Moratalaz",2004,4,2930.84784213434
"Puente De Vallecas",2004,4,2617.89474225592
"Retiro",2004,4,3823.94482781603
"Salamanca",2004,4,4311.04207178229
"San Blas",2004,4,3015.23081968175
"Tetuán",2004,4,3582.66540647661
"Usera",2004,4,2577.31021424716
"Vicálvaro",2004,4,2903.66389152843
"Villa De Vallecas",2004,4,2529.8026258601
"Villaverde",2004,4,2528.0066391371
"Arganzuela",2005,1,3498.52350888937
"Barajas",2005,1,3292.16308421528
"Carabanchel",2005,1,2736.22603127299
"Centro",2005,1,3694.03336325742
"Chamartín",2005,1,4240.55973754527
"Chamberí",2005,1,4262.20938342197
"Ciudad Lineal",2005,1,3424.2531354554
"Fuencarral",2005,1,3470.38050626625
"Hortaleza",2005,1,3351.63939632135
"Latina",2005,1,2825.21376551563
"Moncloa",2005,1,3769.599991761
"Moratalaz",2005,1,2930.4978912085
"Puente De Vallecas",2005,1,2662.52656912366
"Retiro",2005,1,3855.87184914351
"Salamanca",2005,1,4459.87901917934
"San Blas",2005,1,3124.43649231456
"Tetuán",2005,1,3661.9131687452
"Usera",2005,1,2689.00563627427
"Vicálvaro",2005,1,2897.97084827647
"Villa De Vallecas",2005,1,2597.58819140835
"Villaverde",2005,1,2534.63482154891
"Arganzuela",2005,2,3504.34008028398
"Barajas",2005,2,3452.92276610314
"Carabanchel",2005,2,2726.28635206921
"Centro",2005,2,3784.76818213268
"Chamartín",2005,2,4366.41758707542
"Chamberí",2005,2,4274.72060096751
"Ciudad Lineal",2005,2,3498.66181349848
"Fuencarral",2005,2,3502.8177450038
"Hortaleza",2005,2,3395.41759865224
"Latina",2005,2,2876.36340580833
"Moncloa",2005,2,3800.73184391266
"Moratalaz",2005,2,2994.37319729864
"Puente De Vallecas",2005,2,2736.01021531286
"Retiro",2005,2,3924.45130543926
"Salamanca",2005,2,4467.87824101009
"San Blas",2005,2,3176.69234526212
"Tetuán",2005,2,3673.72674932237
"Usera",2005,2,2746.73389324619
"Vicálvaro",2005,2,2954.07955122862
"Villa De Vallecas",2005,2,2663.0961827531
"Villaverde",2005,2,2532.46826580446
"Arganzuela",2005,3,3595.21461430422
"Barajas",2005,3,3365.81172118871
"Carabanchel",2005,3,2777.53825430133
"Centro",2005,3,3841.28445851663
"Chamartín",2005,3,4423.76105837497
"Chamberí",2005,3,4436.23062513429
"Ciudad Lineal",2005,3,3580.56210812014
"Fuencarral",2005,3,3471.73987114373
"Hortaleza",2005,3,3476.16032302132
"Latina",2005,3,2967.62335093922
"Moncloa",2005,3,3853.98329006906
"Moratalaz",2005,3,3044.67726388283
"Puente De Vallecas",2005,3,2842.04143424756
"Retiro",2005,3,4011.9763763292
"Salamanca",2005,3,4544.03311799273
"San Blas",2005,3,3266.69082438619
"Tetuán",2005,3,3748.08243239335
"Usera",2005,3,2792.55121417599
"Vicálvaro",2005,3,3024.98062859511
"Villa De Vallecas",2005,3,2737.42183459019
"Villaverde",2005,3,2575.74391962723
"Arganzuela",2005,4,3674.04175346341
"Barajas",2005,4,3432.88409770853
"Carabanchel",2005,4,2855.12423560764
"Centro",2005,4,4011.08783344228
"Chamartín",2005,4,4526.15453962394
"Chamberí",2005,4,4516.50229070351
"Ciudad Lineal",2005,4,3705.27340405386
"Fuencarral",2005,4,3593.35125489378
"Hortaleza",2005,4,3567.41042643743
