Provincia	Municipio	Localidad	C.P.	Dirección	Margen	"Longitud (WGS84)"	"Latitud (WGS84)"	"Precio Gasolina 95 Protección"	"Precio Gasoleo A"	"Precio Nuevo Gasoleo A"	"Precio Biodiesel"	"% éster metílico"	"Precio Bioetanol"	"% Bioalcohol"	"Precio Gasolina  98"	"Precio Gas Natural Comprimido"	Rótulo	"Tipo Venta"	Remisión	Horario
GIRONA	Girona	GIRONA                   	17007	CARRER SAN JUAN BOSCO, 8	N	2,825000	42,004194	1,269	1,189	1,269		0,0		0,0	1,379		GALP	P	dm	L-D: 06:00-22:00
GIRONA	Girona	GIRONA                   	17007	AV. DE FRANCIA S/N	D	2,819611	41,996417	1,129	1,079			0,0		0,0			G P  - GIRONA -	P	dm	L-V: 07:00-22:00; S: 08:00-22:00; D: 08:00-20:00
GIRONA	Girona	GIRONA	17080	PLAZA PZA. SALT S/N -PARKING DIA, 1	N	2,808333	41,965833	1,159	1,079	1,139		0,0		0,0	1,355		GALP	P	OM	L-D: 09:00-13:00 y 15:00-18:00
GIRONA	Hostalric	HOSTALRIC                	17450	CARRER POMPEU FABRA, 2	N	2,624083	41,742833	1,149	1,069			0,0		0,0			ESCLATOIL	P	dm	L-D: 24H
GIRONA	Hostalric	HOSTALRIC                	17450	AVENIDA CORONEL ESTRADA, 136	D	2,627472	41,745944	1,219	1,179	1,244		0,0		0,0	1,338		REPSOL	P	OM	L-D: 06:00-22:00
GIRONA	Jonquera (La)	LA JONQUERA              	17700	AUTOPISTA AP-7 KM. 7	D	2,872250	42,405278	1,269	1,209	1,274		0,0		0,0	1,388		REPSOL	P	OM	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CARRETERA N-2 KM. 772,5	D	2,882667	42,398417	1,229	1,219	1,284		0,0		0,0	1,348		REPSOL	P	OM	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CR N-2, 772,5	I	2,880500	42,399056	1,229	1,219	1,284		0,0		0,0	1,348		REPSOL	P	OM	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CALLE LES SALINES, 9	N	2,878639	42,400556	1,278	1,196			0,0		0,0			VALCARCE	P	dm	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CARRETERA GI-601 A CANTALLOPS, ESQ. N-II, POL. SECTOR LES OLIVERES KM. 128	N	2,880333	42,403278	1,242	1,224	1,285		0,0		0,0	1,359		SHELL 	P	OM	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	ZONA COMERCIAL SECTOR DUANA, S/N	N	2,866278	42,428333	1,179	1,139	1,209		0,0		0,0	1,289		GALP	P	OM	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	N-II km 778,000	N	2,880531	42,397708	1,249	1,219	1,279		0,0		0,0	1,349		GALP	P	OM	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	AVINGUDA EUSKADI, 11	N	2,885583	42,399528		1,219			0,0		0,0			A.S. ROMPETROL LA JONQUERA	P	dm	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	AUTOPISTA AP 7 KM 7 KM. 7	N	2,873194	42,406389	1,259	1,209	1,269		0,0		0,0	1,382		GALP	P	OM	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CRTA N-II km 775,65	D	2,869167	42,424306	1,259	1,217	1,274		0,0		0,0	1,376		BP	P	dm	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CARRETERA N-II KM. 775,65	I	2,868333	42,424917	1,259	1,217	1,274		0,0		0,0	1,376		BP	P	dm	L: 07:00-23:00
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CARRETERA N-II KM. 773,5	D	2,878500	42,406889	1,249	1,191	1,251		0,0		0,0			TORTUGA	P	dm	L-D: 24H
GIRONA	Jonquera (La)	LA JONQUERA              	17700	CARRETERA NACIONAL II KM. 765	I	2,878639	42,402972		1,219			0,0		0,0			"ANDAMUR ""LA JONQUERA"""	P	dm	L-D: 24H
